"point","error_auto","error_local_auto","rmse_component","truth_rmse_auto","truth_rmse_local_auto","truth_rmse_delta","dataset_id","batch_id","local_dim","auto_dim","dim_deviation"
90,-0.0003743781073971,-0.00232561501648099,5.9922689837355e-08,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
91,0.0122243174470833,0.00747490625185147,-1.06416145183215e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
92,0.0313213568333389,0.0410191282783369,7.97943241694943e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",2,3,-1
93,-0.0003743781073971,-0.00232561501648099,5.9922689837355e-08,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
94,-0.0003743781073971,-0.00232561501648099,5.9922689837355e-08,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
95,0.0313213568333389,0.0410191282783369,7.97943241694943e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",2,3,-1
96,0.0369353126406154,0.0226830425869524,-9.66457304083247e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
97,0.0369353126406154,0.0226830425869524,-9.66457304083247e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
98,-0.0003743781073971,-0.00232561501648099,5.9922689837355e-08,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
99,0.00349625059564629,0.00841809312475417,6.66985632795756e-07,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",3,3,0
